subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
7238,0.0006,0.0013,0.0045,0.0043,0.2060,0.7834,-5751733.5036,-3189870.0639,-5748676.0225,-3187576.9531
7287,0.0001,0.0002,0.0004,0.0003,0.0237,0.9753,-5748676.0225,-3201335.6182,-5745618.5413,-3199042.5073
5785,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7185692.1540,-2994955.6418,-7182634.6729,-2992662.5310
5797,0.0002,0.0004,0.0005,0.0004,0.0008,0.9978,-7210152.0031,-2999541.8635,-7207094.5219,-2997248.7527
5798,0.0002,0.0004,0.0006,0.0008,0.0003,0.9978,-7207094.5219,-2999541.8635,-7204037.0408,-2997248.7527
7439,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-5803710.6828,-3231146.0592,-5800653.2017,-3228852.9484
5804,0.0014,0.0025,0.0107,0.0204,0.8148,0.1502,-7210152.0031,-3001834.9744,-7207094.5219,-2999541.8635
5809,0.0012,0.0027,0.0062,0.0062,0.0081,0.9756,-7210152.0031,-3004128.0852,-7207094.5219,-3001834.9744
8167,0.0000,0.0000,0.0000,0.0000,0.9997,0.0002,-5993274.5129,-3524664.2478,-5990217.0318,-3522371.1369
5810,0.0014,0.0025,0.0107,0.0204,0.8148,0.1502,-7197922.0786,-3004128.0852,-7194864.5974,-3001834.9744
8267,0.0000,0.0000,0.0000,0.0000,0.0002,0.9997,-6005504.4375,-3545302.2454,-6002446.9563,-3543009.1346
6469,0.0004,0.0008,0.0042,0.0023,0.3819,0.6104,-5693641.3621,-3137128.5144,-5690583.8810,-3134835.4036
6007,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7240726.8144,-3036231.6371,-7237669.3333,-3033938.5263
7200,0.0009,0.0023,0.0047,0.0033,0.0470,0.9418,-5742561.0602,-3182990.7314,-5739503.5791,-3180697.6206
7411,0.0001,0.0001,0.0011,0.0004,0.8855,0.1129,-5739503.5791,-3224266.7267,-5736446.0979,-3221973.6158
7479,0.0000,0.0004,0.0068,0.9396,0.0532,0.0000,-5779250.8338,-3242611.6135,-5776193.3526,-3240318.5026
8065,0.0005,0.0031,0.0205,0.7442,0.2314,0.0002,-5861802.8243,-3343508.4908,-5858745.3432,-3341215.3799
6240,0.7084,0.1966,0.0814,0.0078,0.0037,0.0020,-7268244.1446,-3100438.7409,-7265186.6634,-3098145.6300
5881,0.0001,0.0003,0.0004,0.0002,0.0090,0.9900,-7234611.8521,-3022472.9720,-7231554.3710,-3020179.8612
6670,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5708928.7678,-3160059.6229,-5705871.2866,-3157766.5121
7112,0.0000,0.0000,0.0007,0.0042,0.9947,0.0003,-5736446.0979,-3169232.0663,-5733388.6168,-3166938.9555
7454,0.0010,0.0022,0.0052,0.0029,0.0243,0.9643,-5806768.1640,-3235732.2809,-5803710.6828,-3233439.1701
7629,0.0001,0.0001,0.0011,0.0004,0.8855,0.1129,-5822055.5696,-3277008.2762,-5818998.0885,-3274715.1653
8206,0.0010,0.0022,0.0052,0.0029,0.0243,0.9643,-5977987.1073,-3531543.5803,-5974929.6262,-3529250.4695
8251,0.0001,0.0003,0.0004,0.0002,0.0090,0.9900,-5977987.1073,-3540716.0237,-5974929.6262,-3538422.9129
8281,0.0000,0.0000,0.0000,0.0000,0.0104,0.9895,-5996331.9941,-3547595.3563,-5993274.5129,-3545302.2454
