subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
6197,0.0001,0.0014,0.0001,0.0652,0.8792,0.0540,0.0000,0.0000,0.0000,0.0000
6532,0.0000,0.0000,0.0000,0.0002,0.2089,0.7909,0.0000,0.0000,0.0000,0.0000
6554,0.0000,0.0000,0.0000,0.0005,0.3534,0.6460,0.0000,0.0000,0.0000,0.0000
6583,0.0001,0.0008,0.0001,0.0057,0.3150,0.6783,0.0000,0.0000,0.0000,0.0000
6079,0.0005,0.0049,0.0002,0.0134,0.2655,0.7155,0.0000,0.0000,0.0000,0.0000
5771,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5772,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5775,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5776,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5778,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5779,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5781,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5777,0.0009,0.0065,0.0002,0.0067,0.0082,0.9775,0.0000,0.0000,0.0000,0.0000
5782,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5786,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5787,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5788,0.0010,0.0129,0.0013,0.8411,0.0269,0.1167,0.0000,0.0000,0.0000,0.0000
5790,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5791,0.0011,0.0062,0.0004,0.0212,0.8187,0.1524,0.0000,0.0000,0.0000,0.0000
5793,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5795,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5796,0.0012,0.0076,0.0010,0.2156,0.6397,0.1349,0.0000,0.0000,0.0000,0.0000
5799,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5800,0.0010,0.0040,0.0004,0.0147,0.1296,0.8504,0.0000,0.0000,0.0000,0.0000
5801,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5802,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5803,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5805,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5806,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5807,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5808,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5812,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5813,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
7481,0.0003,0.0151,0.0011,0.1238,0.0935,0.7662,0.0000,0.0000,0.0000,0.0000
7748,0.0011,0.0117,0.0003,0.0117,0.0568,0.9184,0.0000,0.0000,0.0000,0.0000
8306,0.0002,0.0029,0.0002,0.0325,0.1874,0.7768,0.0000,0.0000,0.0000,0.0000
7608,0.0000,0.0000,0.0000,0.0000,0.0005,0.9994,0.0000,0.0000,0.0000,0.0000
7664,0.0037,0.9874,0.0021,0.0025,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000
7880,0.0006,0.0508,0.0021,0.0182,0.9281,0.0002,0.0000,0.0000,0.0000,0.0000
8361,0.0000,0.0000,0.0000,0.0001,0.9993,0.0006,0.0000,0.0000,0.0000,0.0000
6043,0.0015,0.0162,0.0004,0.0164,0.1280,0.8376,0.0000,0.0000,0.0000,0.0000
6128,0.0005,0.0254,0.0007,0.1601,0.2035,0.6099,0.0000,0.0000,0.0000,0.0000
6666,0.0000,0.0000,0.0000,0.0001,0.0072,0.9927,0.0000,0.0000,0.0000,0.0000
6696,0.0041,0.8807,0.0111,0.0622,0.0415,0.0004,0.0000,0.0000,0.0000,0.0000
5815,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5816,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
7712,0.0002,0.0149,0.0012,0.8566,0.1271,0.0000,0.0000,0.0000,0.0000,0.0000
5817,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
7867,0.0008,0.9822,0.0071,0.0082,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000
5819,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5820,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
7764,0.0011,0.0109,0.0005,0.0234,0.7315,0.2326,0.0000,0.0000,0.0000,0.0000
5821,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5822,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5825,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
6143,0.0039,0.4168,0.0026,0.4680,0.1065,0.0022,0.0000,0.0000,0.0000,0.0000
5827,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
